,Total_Purchases,Average_Product_Price
0,0,5.0
1,717,4.1325
2,1112,4.0475
3,1239,4.12875
4,1318,4.06375
5,1281,4.105
6,1305,4.00875
7,1277,4.08125
8,1327,4.0275
9,1343,4.01875
10,1259,4.04625
11,1258,4.0475
12,1358,4.08
13,1327,4.02625
14,1310,4.06375
15,1250,4.085
16,1334,4.07875
17,1304,4.07625
18,1305,4.1125
19,1291,4.0625
20,1360,4.02125
21,1303,4.06375
22,1315,4.06125
23,1265,4.0875
24,1313,4.0525
25,1314,4.04375
26,1304,4.03125
27,1320,4.06375
28,1281,4.0625
29,1347,4.035
30,1263,4.065
31,1338,4.06625
32,1306,4.04375
33,1297,4.0675
34,1314,4.07875
35,1302,4.1325
36,1329,4.10625
37,1293,4.12375
38,1313,4.0725
39,1330,4.0175
40,1274,3.99625
41,1290,4.10375
42,1299,4.045
43,1328,4.03125
44,1292,4.055
45,1346,4.01
46,1290,4.00875
47,1264,4.09875
48,1365,4.0525
49,1273,4.065
50,1321,4.05375
51,1292,4.04875
52,1299,4.025
53,1284,4.04625
54,1311,3.99875
55,1277,4.1275
56,1330,4.06375
57,1370,4.0175
58,1278,4.05375
59,1288,4.09625
60,1343,4.0675
61,1313,4.0575
62,1277,4.0775
63,1295,4.04375
64,1312,4.025
65,1247,4.11
66,1370,3.99125
67,1321,4.06625
68,1291,4.06375
69,1267,4.05625
70,1337,4.0225
71,1343,4.02125
72,1307,4.0275
73,1288,4.0425
74,1269,4.06875
75,1310,4.08375
76,1318,4.02875
77,1286,4.10875
78,1318,4.09875
79,1304,4.105
80,1305,4.0975
81,1310,4.0825
82,1328,4.03375
83,1306,4.1075
84,1257,4.08625
85,1330,4.06875
86,1290,4.11875
87,1341,4.0825
88,1328,4.07625
89,1298,4.06375
90,1315,4.05625
91,1278,4.07875
92,1334,4.03375
93,1306,4.065
94,1294,4.06875
95,1305,3.9925
96,1312,4.0625
97,1296,4.09375
98,1292,4.06
99,1305,4.0725
